,PARKING_SPACE_ID,POST_ID,STREET_NAME,shape
3765,133885,830-01240,EMBARCADERO NORTH,POINT (-122.394844 37.796474)
3766,154818,444-02560,GRANT AVE,POINT (-122.405304 37.7895)
3768,143944,210-03080,10TH ST,POINT (-122.41257 37.7725)
3772,144141,350-14120,CALIFORNIA ST,POINT (-122.41792 37.79099)
3774,163872,614-07080,POST ST,POINT (-122.41363 37.78769)
3775,155692,501-03450,JESSIE ST,POINT (-122.40528 37.78447)
3776,139661,324-03180,BATTERY ST,POINT (-122.40017 37.794685)
3777,144870,606-06120,PINE ST,POINT (-122.40619 37.791492)
3778,136844,324-05270,BATTERY ST,POINT (-122.40061 37.79611)
3780,159542,593-07380,OFARRELL ST,POINT (-122.41758 37.785267)
3781,138143,340-00348,BLUXOME ST,POINT (-122.396866 37.776913)
3783,154590,525-00106,KAPLAN LN,POINT (-122.39911 37.785126)
3784,162677,350-03250,CALIFORNIA ST,POINT (-122.400734 37.79303)
3785,161579,837-09040,FRONT ST,POINT (-122.40001 37.799877)
3786,144020,350-15080,CALIFORNIA ST,POINT (-122.4194 37.79082)
3788,155888,501-03210,JESSIE ST,POINT (-122.404945 37.784737)
3789,155470,470-12060,HOWARD ST,POINT (-122.41191 37.776077)
3790,133031,830-01035,EMBARCADERO NORTH,POINT (-122.39458 37.796505)
3791,143938,209-02590,09TH ST,POINT (-122.41169 37.77395)
3792,139048,418-06230,FOLSOM ST,POINT (-122.3972 37.78501)
3793,145344,502-08170,JONES ST,POINT (-122.41371 37.78912)
3794,135543,720-08210,WASHINGTON ST,POINT (-122.40714 37.795013)
3795,144760,210-02150,10TH ST,POINT (-122.41384 37.773743)
3796,133555,201-02530,01ST ST,POINT (-122.394684 37.78759)
3797,135940,571-09200,MONTGOMERY ST,POINT (-122.40374 37.797955)
3798,145513,612-16250,POLK ST,POINT (-122.42105 37.792038)
3799,159589,614-11150,POST ST,POINT (-122.4204 37.786682)
3800,155841,471-10180,HARRISON ST,POINT (-122.40464 37.77693)
3803,155276,681-03010,TAYLOR ST,POINT (-122.41125 37.78522)
3805,140055,606-03380,PINE ST,POINT (-122.40222 37.79199)
3806,140182,520-00070,KEARNY ST,POINT (-122.403625 37.7883)
3811,139044,651-00029,SANSOME ST,POINT (-122.40074 37.79083)
3812,138465,684-04012,TOWNSEND ST,POINT (-122.39772 37.77507)
3813,139691,651-00440,SANSOME ST,POINT (-122.40059 37.79085)
3814,137581,330-04690,BRANNAN ST,POINT (-122.395645 37.778885)
3816,144029,650-16140,SACRAMENTO ST,POINT (-122.41971 37.79169)
3817,131563,561-02211,MAIN ST,POINT (-122.39295 37.790363)
3818,136541,444-07050,GRANT AVE,POINT (-122.406204 37.793617)
3819,155789,666-04050,SUTTER ST,POINT (-122.4072 37.789333)
3820,163729,369-00340,CAMPTON PL,POINT (-122.40644 37.78906)
3821,134478,650-02090,SACRAMENTO ST,POINT (-122.39823 37.79433)
3822,136835,324-05370,BATTERY ST,POINT (-122.40062 37.796154)
3823,145592,666-05200,SUTTER ST,POINT (-122.409424 37.789177)
3824,134742,359-01220,CLAY ST,POINT (-122.397675 37.79539)
3825,139419,471-06570,HARRISON ST,POINT (-122.396706 37.782936)
3826,145408,336-05400,BUSH ST,POINT (-122.40675 37.790474)
3827,133417,664-11130,STOCKTON ST,POINT (-122.40846 37.796497)
3828,133219,720-01040,WASHINGTON ST,POINT (-122.39721 37.79635)
3829,143710,209-02250,09TH ST,POINT (-122.41246 37.774563)
3831,133319,568-02398,MISSION ST,POINT (-122.39552 37.791252)
3832,133965,386-02084,DRUMM ST,POINT (-122.39668 37.79581)
3834,163608,684-05066,TOWNSEND ST,POINT (-122.40114 37.772377)
3835,144074,472-10060,HYDE ST,POINT (-122.41715 37.79025)
3836,155082,401-00110,ELLIS ST,POINT (-122.40664 37.78558)
3837,133134,821-05600,BEALE ST,POINT (-122.38885 37.7855)
3840,144705,423-01670,FULTON ST,POINT (-122.41635 37.779484)
3841,163736,401-02220,ELLIS ST,POINT (-122.41031 37.785233)
3842,136498,651-07120,SANSOME ST,POINT (-122.40185 37.797016)
3843,163516,831-02530,EMBARCADERO SOUTH,POINT (-122.39008 37.791264)
3844,143986,606-05300,PINE ST,POINT (-122.4053 37.791607)
3845,133709,658-00750,SPEAR ST,POINT (-122.39437 37.792892)
3846,143829,210-02050,10TH ST,POINT (-122.41404 37.773907)
3847,145362,336-08300,BUSH ST,POINT (-122.411415 37.789886)
3848,136675,324-05430,BATTERY ST,POINT (-122.40063 37.796185)
3849,133118,830-01010,EMBARCADERO NORTH,POINT (-122.39463 37.796413)
3850,137387,684-03530,TOWNSEND ST,POINT (-122.39614 37.775997)
3851,136283,471-07290,HARRISON ST,POINT (-122.39812 37.781826)
3852,132982,821-05370,BEALE ST,POINT (-122.38893 37.78577)
3853,139297,336-03330,BUSH ST,POINT (-122.4034 37.79078)
3855,131701,614-08340,POST ST,POINT (-122.41614 37.787373)
3856,137901,330-05110,BRANNAN ST,POINT (-122.396736 37.77802)
3857,154930,401-02230,ELLIS ST,POINT (-122.41027 37.785114)
3858,159603,614-07420,POST ST,POINT (-122.41471 37.78755)
3859,137076,471-07350,HARRISON ST,POINT (-122.398285 37.781693)
3861,131849,336-13310,BUSH ST,POINT (-122.41973 37.788692)
3862,144181,350-09140,CALIFORNIA ST,POINT (-122.40974 37.79205)
3863,139580,364-05050,COMMERCIAL ST,POINT (-122.40164 37.794357)
3864,154656,418-06360,FOLSOM ST,POINT (-122.39777 37.7848)
3865,138131,340-00546,BLUXOME ST,POINT (-122.39724 37.776615)
3866,139346,582-01100,NEW MONTGOMERY ST,POINT (-122.40016 37.787094)
3867,134382,616-11210,POWELL ST,POINT (-122.40991 37.795315)
3869,154651,501-01203,JESSIE ST,POINT (-122.400894 37.788044)
3870,138170,684-03665,TOWNSEND ST,POINT (-122.39677 37.775818)
3871,138673,373-03180,CHANNEL ST,POINT (-122.394455 37.772194)
3872,143966,542-02100,LARKIN ST,POINT (-122.41671 37.779896)
3874,155823,401-01330,ELLIS ST,POINT (-122.408905 37.785294)
3875,137919,203-06540,03RD ST,POINT (-122.39317 37.77907)
3876,135968,600-02160,PACIFIC AVE,POINT (-122.40037 37.797756)
3877,162711,869-04150,TERRY A FRANCOIS BLVD,POINT (-122.38705 37.772755)
3878,134849,380-02050,DAVIS ST,POINT (-122.3979 37.79457)
3879,143795,209-02470,09TH ST,POINT (-122.41202 37.774204)
3881,137956,471-07690,HARRISON ST,POINT (-122.39913 37.78103)
3882,139257,614-00280,POST ST,POINT (-122.40314 37.789005)
3883,139173,470-05490,HOWARD ST,POINT (-122.3971 37.787548)
3884,134580,420-03140,FREMONT ST,POINT (-122.393196 37.78756)
